title,chapter_number,summary
The Sixth Dragon Ball,259 (DBZ 65),"The cover of this chapter shows Frieza standing over Dende with Namekian Dragon Balls floating around.
 Vegeta is flying along and he feels about twenty great powers, which is unmistakably a Namekian village. So, it should have a Dragon Ball. Vegeta speeds up and laughs about how Freeza doesn’t have scouters, and he can get away with all of this without them knowing a thing. He arrives at the village and realizes that Freeza must not have come here yet if there are still villagers alive. The villagers are all peacefully farming the land and working, as Vegeta lands in the middle of the village. They all take notice of the alien, and Vegeta demands the elder come give him the Dragon Ball.
 A heavy old man says he’s the elder, and asks why he should give the Dragon Ball to him. Vegeta says to never mind that and just hand it over. The elder says he can’t give the Dragon Ball to him, since he feels evil within him. “Well then, die!” Meanwhile, back at the capsule house in the cave, everyone is sitting around relaxing, and apparently they’ve explained to Bulma what happened. Kuririn and Gohan are eating, but the kid won’t touch his food. Kuririn tells him to eat, but Bulma says to leave him alone, he’s probably upset about all the people in his village having been killed. “We don’t eat this sort of thing. We just drink water.” Kuririn says he must be joking, since he saw they were growing vegetables in the fields.
 The kid says those were young Ajissa trees. He explains that before the unusual weather started happening on Planet Namek, the planet was beautiful and overgrown with Ajissa trees. But then the Ajissa trees and all the Namekians nearly died out, so now, they’re trying to make the planet abundant with Ajissa trees again. Gohan then asks the kid what his name is. “Dende… Umm… Who are you guys?” Suddenly Kuririn and Gohan feel something and rush out of the cave. Bulma asks if someone’s coming again. But that’s not it; one-by-one, ki are disappearing says Kuririn, and Gohan realizes more Namekians are being killed. Kuririn says they know that ki… it’s Vegeta, terrorizing a village nearby.
 Kuririn gets pissed and says that until Goku arrives, they can’t be careless. It’s all over if Vegeta or that Freeza bastard receive eternal life from the Dragon Balls. Bulma says that if they find at least one, nobody else will have all seven. Gohan says that’s no good, because even if they did that, the bad guys would still continue to kill off all the Namekians. They start talking about how Goku can defeat Vegeta and stuff, but then Dende interrupts. “Please tell me who you are…! Where have you come from… How do you know about the Dragon Balls… Please save everyone on this planet!!”
 Meanwhile, Vegeta bashes in the skull of a Namekian, and everyone in the village is now dead, except the elder. He still won’t hand over the Dragon Balls, though, and Vegeta says he’s stubborn even to the end. Vegeta says he’ll just search for it himself, then blasts the elder with one hand and kills him. Kuririn tells Dende they came from Earth, where they also have Dragon Balls because of a Namekian there, and they need to use the Dragon Balls to return their dead friends to life. Bulma adds that if they make their wish, the Earth Dragon Balls will be revived. Dende then asks that they please take him to the Eldest. Meanwhile, Vegeta has finally found the Four-Star Ball.
"
The Last Dragon Ball,260 (DBZ 66),"The cover of this issue shows different panels with main characters inside them. Characters seen in these panels are Vegeta, Goku, Krillin, Gohan, Zarbon, Frieza, Bulma and Dende. The Namekian Dragon Balls are also visible.
 Frieza asks his men to find the Dragon Balls Vegeta tosses his Dragon Ball into the lake next to the village, so that nobody will know where to find it, except him. He then wonders what to do next. Freeza has five and is searching for the remaining one. Vegeta then flies off thinking. Meanwhile, Freeza, Zarbon, and the only remaining henchman are still waiting on Dodoria, thinking he’s still chasing those little guys. Freeza thinks Dodoria was an idiot, and they should just go search for the remaining two Dragon Balls. Zarbon and the other henchman will go look for the last two villages, and Freeza will go back to their ship with the five Dragon Balls they have so far. Zarbon and the henchman drop their Dragon Balls to the ground, then take to the air. Zarbon tells the other henchman to search that way, but notify him if he finds the village, so that he won’t get killed by the stronger Namekians. No matter what, they’ll return to the ship in three hours. Then they both fly off.
 Freeza thinks that Vegeta is probably already searching himself, and is sure to come after the Dragon Balls they already have. And when Vegeta does come, they’ll just take the two he has, and have all seven. Freeza lifts the five Dragon Balls off the ground telekinetically, and zooms off with them in his pod. Back at the cave, Bulma asks Dende about this Eldest, and Dende says he was the person who gave birth to all of the Namekians here. He was the only person who survived the unusual weather, and he repopulated the planet afterwards. “I’m the 108th child of the Eldest.” Bulma asks how he could’ve given birth if he was the only one, and Dende says by producing eggs from his mouth. Bulma says that’s really different, and thinks this Eldest must be a woman. Dende then asks what a “woman” is. Bulma asks if there aren’t two types of Namekians, man and woman, like his mother and father for example. Dende doesn’t understand this “two type” thing at all. Bulma thinks this is a boring planet if it doesn’t have men or women.
 Kuririn changes the subject and wants to know why they should go to see the Eldest (as Bulma says she’s glad she’s not a Namekian). “Ah! The people who attacked our village already have four Dragon Balls… And then, now you’ve said a lot of people are being killed in that direction, right?” Kuririn says yeah, it was probably Vegeta, and Gohan says there’s no one left, they’ve been wiped out. Dende says that means there’s hardly anyone remaining on this planet now. Kuririn says that Vegeta must have the Dragon Ball from the village he attacked, meaning there’s only one left. Kuririn asks if the last Dragon Ball is being held by the Eldest, and Dende says it is. Kuririn freaks out, because even though Freeza’s troops no longer have scouters, Vegeta can detect ki, and so he’ll probably be after the seventh Dragon Ball there. Dende cries and says they must hurry then, and Kuririn agrees, because they can’t let Freeza or Vegeta be granted eternal life. Kuririn says he’ll go, and asks Gohan to stay with Bulma. It’s dangerous if too many of them go.
 Kuririn asks Dende how long it would take them to get there walking, so as not to be noticed by Vegeta. Dende says it’s about thirty days walking, and Kuririn says that’s no good at all, so they’ll have to fly. They’ll just have to hide again if Vegeta notices them. So Dende and Kuririn fly off, and tell Bulma and Gohan to be careful. Kuririn thinks about how strong Freeza and Vegeta are along the way, and thinks they’ll just hide with the Eldest’s Dragon Ball for the five and a half days it will take Goku to get there. Speaking of whom, Goku is flying through space doing flips and throwing punches in his ship. He’s exhausted, but thinks he should move up to 30G now, when Kaiō-sama contacts him. He asks Goku if he’s in space, but remembers that he should be on his way to Planet Namek, and thinks it’ll be good if he finds the Dragon Balls there. Goku can’t believe Kaiō-sama didn’t know that, and says there’s bad stuff happening on Planet Namek. Kaiō-sama says to tell him later, he has good news first. He has guests here. There are four guests, and they’ve cleared Serpent Road in a much shorter time than Goku did. Four people he knows well. They’ve come here for stern training like Goku did. Tenshinhan, Chiaotzu, Piccolo, and Yamcha!
"
The Four Dead Heroes,261 (DBZ 67),"The cover of this chapter shows Vegeta facing off against Zarbon in midair.
 Goku thinks it’s awesome that everyone’s made it to Kaiō’s place. Yamcha then asks if he can talk to Goku, and Kaiō tells him to put his hand on his shoulder, and then speak. Yamcha tells Goku that when they came to the afterlife with God, he told them that Goku and the others are going to Piccolo’s home planet to return all of them to life. Goku thinks the four must be Yamcha, Tenshinhan… and then wonders if the third is Piccolo. Piccolo says it’s him, and notes that he’s only come here because his pride was damaged from Goku being stronger than him. Goku thinks the fourth must be God, but Yamcha tells him it’s Chiaotzu. His body was destroyed, but God restored him, and told them to come here to train. Goku’s glad to hear that, and Yamcha goes on about the gravity here giving them trouble.
 Goku understands, and says how on the way to Planet Namek, he’s receiving really really awesome gravity training. He’ll really need to make use of this training in five and a half days. Then Kaiō remembers him talking about his bad news, and tells Goku to explain it. “Since I was really injured, Kuririn, Bulma, and Gohan went to Planet Namek to search for the Dragon Balls… But, that Saiyan called Vegeta also went there to search for the Dragon Balls…” Kaiō freaks out and realizes he means to take down Vegeta. “No, it seems it ain’t just Vegeta that Kuririn and everyone’s noticed. Before… That was my fault… When I stopped Kuririn from killing Vegeta… Furthermore, they can’t even return to Earth because their space ship is broken… But that ain’t just it. Something even more unbelievable… Some weird guys are also after the Dragon Balls. Strangely, they appeared to be just like Vegeta. But, there is someone with a ki that far exceeds Vegeta’s…”
 Yamcha and Kaiō freak out, and the others there (who can’t hear Goku) ask what’s wrong. Kaiō asks Goku if that person’s name is Freeza, but Goku doesn’t know. So, Kaiō decides to check himself, and Yamcha goes back with the others. Kaiō checks Planet Namek and sees Freeza flying through the air in his pod with the five Dragon Balls, and freaks out that it really was him. Kaiō tells Goku that Freeza is the worst there is, and that he should stay away from him. He also orders Goku to take his three friends and leave immediately as soon as he arrives on Planet Namek. An insufficient attack will just make Freeza angry, and unbelievable things will happen. Goku wants to see just how awesome this guy is, and Kaiō yells that he absolutely must stay away. Piccolo then comes over and puts his hand on Kaiō’s shoulder, and tells Goku to gather the Dragon Balls and return them to life. They’ll learn great techniques here, and then go to Planet Namek and fight that bastard too.
 Kaiō says that’s stupid, and they have no idea just how strong Freeza is. Piccolo says there’s no time, and asks to start the training now. Kaiō says he won’t train them unless they promise not to go to Namek. Piccolo says okay, but thinks to himself that he won’t keep a promise like that. Tenshinhan thinks to himself that he won’t surpass Goku from receiving the same training as him. But if he just quickly picks up the points of the training and refines them, he could be like before. Kaiō then tells them they’ll have to make him laugh with a pun; if they pass the test, he’ll train them. Everyone freaks out, and the narration says the test is especially hard for Tenshinhan and Piccolo. Up in his ship, Goku is not very intent on listening to Kaiō’s warning, and decides he’ll try 50G.
 “And on Planet Namek…” Dende is flying through the air on the way to the Eldest’s place, and Kuririn asks about how long it’ll take them to get there flying. Dende says five hours, and Kuririn doesn’t like the idea of using so much energy for that long. Vegeta, meanwhile, is still searching for a place with a bunch of powers gathered, but can’t find any, and wonders if there are no more villages. Then he suddenly feels two powers and stops. One of the powers doesn’t feel like either a Namekian or one of Freeza’s group. He wants to find out who it is, and zooms off. Kuririn then yells at Dende to halt, because he feels Vegeta coming towards them at an incredible speed. Kuririn then grabs Dende’s hand and takes the two of them down to an island to hide. But then Kuririn notices his direction has changed, towards the direction of another ki. Vegeta says it’s definitely Zarbon, as Zarbon flies around looking for a village. Vegeta suddenly appears in front of Zarbon, and says it’s been a while. “I’ve taken care of Dodoria… Now it’s your turn…”
"
Vegeta vs. Zarbon,262 (DBZ 68),"The cover of this chapter shows Goku standing in a fighting pose.
 Zarbon can’t believe he killed Dodoria, and Vegeta says he’ll make him believe. Zarbon asks Vegeta why he’s defying Freeza, and so he explains about not liking taking orders from him and how he wants eternal life for himself. If he had eternal life, his chances of winning against Freeza would increase. Zarbon tells him eternal life wouldn’t be enough to win against Freeza. Vegeta says it’s a shame Zarbon doesn’t have a scouter, because his power has gone up to unimaginable levels. Zarbon says he doesn’t know where Vegeta stands, but he knows Freeza has far transcended him. Vegeta says to cut the crap, the talking is over. He tells Zarbon that Dodoria said Freeza was scared of the Saiyan. So he’ll show him that Saiyan power he was afraid of.
 Zarbon's Elegant Blaster Zarbon says Freeza was scared of the ones who’d conspired together, not just one. This just makes Vegeta smirk, and he disappears, reappearing next to Zarbon. Zarbon punches at him, but Vegeta catches his fist, then throws him up further into the air. Zarbon catches himself, though, and fires a huge blast down towards Vegeta. Vegeta waits for it and swats the blast off to the side, causing a huge explosion off in the distance. Kuririn and Dende aren’t too far from the explosion, and Kuririn notes that two awesome ki (Vegeta and someone) are fighting. He knows that someone was with Freeza, though.
 Kuririn gets pissed that he can’t contend with them and hopes they really beat each other up. He grabs Dende and says to hold on tight, then flies off. He says this is their chance, while Vegeta’s busy fighting they’ll hurry up to the Eldest’s place. Meanwhile, Vegeta elbows Zarbon in the face, then Zarbon kicks at him, but Vegeta dodges it. Vegeta does a mid-air back flip and kicks Zarbon off into the distance, and flies after him. Zarbon lands on the ground, but Vegeta is right behind him, and kicks him across the ground. Zarbon stands back up, and tells Vegeta he’s improved. “But, it’s your fault… You’ve awoken my true power that’s been sleeping for a long time…”
"
Zarbon's True Power,263 (DBZ 69),"The cover of this chapter shows the dead Z Fighters, Tien Shinhan, Piccolo, Yamcha and Chiaotzu training on King Kai's Planet. Yamcha is chasing Bubbles.
 Vegeta thinks Zarbon’s threat is hilarious, and Zarbon decides to explain his true power before Vegeta dies. Zarbon says that it’s a difficult transformation to bring out his true power. He prefers this beautiful form, which is why he can’t stand transforming. “But, I’ll choose transforming over death…” Vegeta laughs at the idea of him transforming like the Saiyans do. Zarbon says he has no need to transform into something large like those Saiyan monkeys do--it’s just his power that grows. Vegeta wants to see this. And then bam, Zarbon suddenly bulks up into an ugly, toad-faced gator-monster and rushes at Vegeta, grabbing his head, and gives Vegeta a nasty headbutt. He tosses Vegeta into the air, but Vegeta catches himself and dives back down towards Zarbon.
 Zarbon flies up towards him, and they meet up, Zarbon’s fist to Vegeta’s face. Zarbon then kicks Vegeta off into the distance, and Vegeta just barely catches himself, running out of breath now. Zarbon tells Vegeta he can’t hide his surprise that he’s of a transforming race. Zarbon says things have now turned, and decides to tell him something good before he dies. “Freeza is also of a transforming race!” Vegeta freaks out and Zarbon says someone who can’t even beat him is certainly no match for Freeza, as he fires a huge ki blast at Vegeta. Vegeta just barely dodges it, but Zarbon grabs hold of him from behind. Zarbon then zooms straight down, and sends Vegeta crashing headfirst into the ground. Zarbon doubts Vegeta had survived that; and even if he did, he’d probably drown. He changes back to his normal form again and decides to report back to FrIeza about this. After Zarbon flies off, Vegeta slowly resurfaces and tries to pull himself back on land, vowing to get even stronger...
"
The Great Elder's House,264 (DBZ 70),"The cover shows Krillin and Dende flying towards Grand Elder Guru's house.
 The other henchman wonders why a village they haven’t been to yet is wiped out, and realizes it must be Vegeta’s doing. He thinks he should tell Freeza and flies off. Meanwhile, Freeza is back at their ship floating in the air staring outside a big window, when the intercom says, “Freeza-sama, it’s Zarbon”. Freeza tells him to enter, and the door slides open and he comes in. Freeza asks if he’s found a village, but Zarbon says no, though he has defeated Vegeta. Freeza asks if Vegeta’s dead, and Zarbon says he didn’t confirm the corpse, but the odds are slim considering the severity of his injuries.
 Freeza asks why he didn’t confirm it, and Zarbon explains that he was underwater. Freeza figures he’s neglected to confirm it because he doesn’t like getting wet. Zarbon says it was inexcusable and he’ll confirm it immediately. Then the other henchman arrives at the ship and says he’s found a village, but it’s already been destroyed. Zarbon figures it must’ve been Vegeta, but he didn’t have a Dragon Ball with him. Freeza tells Zarbon to bring Vegeta back here, and he’d better hope he’s still alive. He also orders the other henchman, Appule, to contact Planet Freeza and have the Ginyu Special-Squad come here in five days. Zarbon freaks out and asks why he wants the Ginyu Special-Squad, and Freeza says he has a strange premonition… A strange feeling about a strong Saiyan. He’s not sure it’s Vegeta, though. Zarbon says if it’s not Vegeta, then it must be the person or the kid from that Earth planet, though they’re considerably weaker than Vegeta.
 Freeza asks if he doubts his premonition, and tells him to hurry and bring Vegeta here. Zarbon flies off, and Freeza thinks to himself some more. The Saiyan have endless fighting potential, though they’re of course no match for him. But in the future, if they continue to sprout up, they could be really troublesome if one became a Super Saiyan. Meanwhile, Vegeta struggles across the ground, but Zarbon has returned and spots him. Zarbon says he’s pretty tough, and decides he’ll need some medical treatment before he can tell them anything. So he grabs Vegeta by the wrist and flies off with him. “Due to the fact that Planet Namek has three suns, the sun never sets… And so, about one day’s time has passed… Goku still continues to train all day and all night…” Goku jumps around the room training, and finally lays down on the floor, exhausted.
 Kuririn and Dende are resting on an island, when Kuririn wakes up and yells at Dende to wake up and lead them to the Eldest’s place. He picks up Dende and starts flying, having Dende direct him. “A little to the left, and then atop the tall rock.” There’s a house atop the tall rock, and Dende says they’ll find the Eldest inside. The door opens as they go toward it, and a young Namekian man comes out, whom Dende calls Nail. Nail says the Eldest knows the situation already, and Dende asks him why they haven’t left. Nail explains that the time of the Eldest’s death is near, and it’s Nail’s duty to protect him. They all step into the house, and we see that the Eldest is a very large, heavy old Namekian, seated in a large chair. He thanks Kuririn for saving Dende, and Kuririn says it was nothing.
"
The Dragon Balls Change Hands,265 (DBZ 71),"The cover features Grand Elder Guru seated in his chair. The One-Star Dragon Ball lies in a hole on the top of the chair, directly above his head.
 The Grand Elder giving Krillin the One-Star Ball Having arrived at the Grand Elder's house, Krillin and Dende implore him to let them borrow the One-Star Dragon Ball. When Dende mentions Earth's Dragon Balls, the Grand Elder is surprised but quickly deduces that the Nameless Namekian must have been their creator. He then reads Krillin's mind and learns that the Nameless Namekian had split in two. Being satisfied with Krillin's motives, he gives Krillin the One-Star Ball and unlocks his hidden inner strength. Thrilled with his newfound strength, Krillin rushes off with the Dragon Ball to bring Gohan to the Elder as well.
 Back at their cave, Gohan and Bulma use the Dragon Radar and detect two signals: the approaching ball being carried by Krillin, and a stationary signal near the village that Vegeta had previously attacked. The pair incorrectly assume that Vegeta had been unable to find the ball and left (while he had really hidden the ball to prevent Frieza from obtaining it). Gohan thus races off with the radar to find the ball himself.
 Zarbon and Appule checking in on Vegeta Meanwhile, on Frieza's Spaceship, Vegeta heals in a Medical Machine while Zarbon and Appule discuss how to get him to disclose the Dragon Ball's location. After Zarbon leaves to report to Frieza, Vegeta awakes and blasts his way out of the tank, killing Appule in the process. He then blasts a hole in the ship's wall as a distraction. When Zarbon and Frieza, having heard the noise, run back to the room, Vegeta is nowhere to be found. Concluding that he has fled, Frieza sends Zarbon outside the ship to find him. With his captors distracted, Vegeta excitedly races to the room where Frieza's five Dragon Balls lie unguarded.
"
"Vegeta's Laughter, Freeza's Rage",266 (DBZ 72),"The cover features Vegeta laughing while Frieza has a look of disdain and anger on his face.
 The chapter begins with Gohan using the Dragon Radar to search for the Dragon Ball that Vegeta left behind. The radar leads Gohan to the Namekian village that Vegeta destroyed. Gohan is horrified by what he sees, but quickly finds the Dragon Ball hidden underwater.
 Vegeta throwing the dragon balls off Frieza's ship Meanwhile, Zarbon searches near Frieza's Spaceship for Vegeta, who they believe has fled after escaping his Medical Machine. Frieza, impatient, threatens to kill Zarbon if he is unable to locate Vegeta. However, Vegeta is actually inside the ship and has located Frieza's now-unguarded Dragon Balls. Realizing that he cannot carry all five that are there, he alerts Zarbon and Frieza to his location, then unleashes a blast in the hallway to obscure their view. Vegeta then blasts a hole in a window and tosses all five balls outside before escaping just in time. Zarbon and Frieza are irate, and Zarbon again begins searching outside the ship.
 As Vegeta flees unnoticed in a nearby body of water, a furious Frieza promises to kill Zarbon if he does not capture Vegeta within an hour. After surfacing and finding the balls he tossed, Vegeta briefly exults in his achievement before noticing Krillin carrying the One-Star Ball. The chapter concludes with Vegeta being pleased with his good fortune.
"
Reunion of Terror!,267 (DBZ 73),"The cover shows Krillin and Bulma frightened in the foreground, while Vegeta stands with a determined posture and Zarbon stares with a sinister glare in the background. Krillin holds the Namekian One-Star Dragon Ball.
 Vegeta dodges Zarbon's attack After spotting Krillin flying with the One-Star Ball, Vegeta begins to chase him. Not realizing that Gohan has stolen the ball he hid underwater, Vegeta believes that taking the ball Krillin has will give him all seven. Despite having no scouter, Zarbon luckily spots Krillin and Vegeta. Recognizing Krillin from their earlier confrontation, he begins to pursue the pair. Vegeta senses Zarbon behind him and vows to defeat him.
 Krillin reaches the cave where Bulma was hiding and finds her outside reading. Bulma is surprised by Krillin's sudden appearance. Krillin expresses his desire to bring Gohan to the Great Elder, but Bulma informs him that Gohan left to get a Dragon Ball. Krillin senses the ki of Vegeta, who arrives on the scene and claims that he wants the Dragon Ball. Zarbon shows up soon after. After exchanging some words with Vegeta, Zarbon transforms into his monster form. He attacks Vegeta, who dodges his first few attacks before flying into the air and tossing sand into Zarbon's eyes. While Zarbon is temporarily blinded, Vegeta delivers a powerful punch to his back.
"
Vegeta in Overdrive!,268 (DBZ 74),"The cover features Vegeta with the seven Namekian Dragon Balls in the background.
 Vegeta punches Zarbon in the back Having just sent Zarbon flying with a powerful punch in the back, Vegeta chases after him and slams him into the water from above. Vegeta follows up with a series of ki blasts. Krillin suggests to Bulma that they flee while Vegeta is distracted, but Bulma is afraid that Vegeta will attack them if they do. Krillin grabs her and begins to flee regardless, but Vegeta does indeed notice them and blocks their path with several blasts. While Vegeta is distracted, Zarbon emerges from the water and flies towards him, leading to the two of them returning to the ground. Zarbon angrily claims that Vegeta will pay for what he has done, but Vegeta is undaunted. He briefly taunts Zarbon before explaining that he is now more powerful, due to having received Saiyan Power after their previous battle. Krillin notes that Goku has indeed displayed this characteristic in the past.
 Vegeta about to finish Zarbon Zarbon, however, is still adamant that he will defeat Vegeta, and the two begin to fight again. After a furious but quick volley of blows, Vegeta lands a punch clean into Zarbon's chest, breaking his armor and drawing blood. Zarbon, clearly unable to fight further, says that he was only following orders and asks for mercy, even offering to work with Vegeta. Vegeta is unmoved and kills Zarbon with a Ki Blast through the chest, much to Krillin's horror. After noting that he could not defeat Frieza even with Zarbon's aid, Vegeta mentions that Krillin seems to have improved as well but is still not on his level. Krillin agrees to give Vegeta the One-Star Dragon Ball in exchange for being left alone. Vegeta stays true to his word and flies off with the ball, while Krillin hopes that Gohan can keep Vegeta from obtaining his wish.
"
Brains and Brawn,269 (DBZ 75),"The cover features Vegeta intimidatingly looking over Gohan while holding the One-Star Namekian Dragon Ball.
 The chapter opens with Krillin and Bulma standing near their cave after Vegeta leaves with their Dragon Ball. Bulma complains that it is all over now that Vegeta has it, but Krillin tells her that it should be okay anyways, as the ball that Gohan is after was really hidden by Vegeta, so Vegeta will not have all seven. Gohan is then seen flying back to the cave with the Four-Star Ball when he senses a powerful ki, which he identifies as Vegeta. Vegeta senses Gohan as well, though Gohan quickly suppresses his ki and hides behind a rock.
 Vegeta, knowing that someone is nearby, threatens aloud to destroy the entire area. Gohan puts down the Dragon Ball and emerges to confront Vegeta. Vegeta tells Gohan that he took his Dragon Ball from Krillin, and asks Gohan what the Dragon Radar is. Gohan tells him that it is simply a watch, and Vegeta mocks Earthlings for not having the technology to create a smaller one. After asking whether Goku is on Namek, Vegeta knees Gohan in the chest and flies off. Though hurt, Gohan still manages to bring the Dragon Ball back to Krillin and Bulma, who decide that they must quickly leave their cave.
 Meanwhile, Vegeta has gone to look underwater for the ball that he hid (which Gohan took). When he is unable to find it, he quickly realizes that it was Gohan's doing and that the Dragon Radar is not simply a watch. Enraged, he flies back to the cave, but finds it deserted. Gohan, Krillin, and Bulma have hidden inside a chasm on another island. Bulma complains about their living conditions, and Krillin states his intent to take Gohan to Grand Elder Guru's house.
"
Premonitions of War,270 (DBZ 76),"The shows Goku bruised and bloodied, and with his traditional martial arts uniform torn and shredded.
 Bulma, eating in their hideout, complains about how Gohan and Krillin have left her alone. The two fly towards Grand Elder Guru's house, though at a low speed so Vegeta will not sense their energy. Krillin states his confidence that they can handle Vegeta together once Gohan's power has been unlocked. Vegeta returns to where he hid his Dragon Balls, and decides that hiding them is useless if Gohan and Krillin can detect them. He resolves to take the two of them out.
 Meanwhile, aboard his spaceship, Goku is now training at 100 times normal gravity. He trains using Ki Blasts before collapsing in exhaustion. He manages to eat a Senzu Bean and gets right back to work. By the next day, 100G is barely challenging him anymore, and he decides that his training is complete. Turning the gravity back down to normal to readjust, he finds his speed drastically improved, and thinks that he could handle a Kaio-ken x10. He then bathes and goes to sleep and his ship speeds onward.
 On his spaceship, Frieza concludes that Zarbon has either been killed or run away, and laments not calling the Ginyu Force earlier. He also concludes that Vegeta has not yet gathered all seven Dragon Balls. Krillin and Gohan have stopped to have a snack, and Krillin is confident that they can pick up their speed as they are now far away from Vegeta. However, Krillin's confidence is misplaced, as Vegeta quickly detects the pair.
"
The Enemy of My Enemy...,271 (DBZ 77),"The cover of this chapter features Gohan, Krillin, Vegeta and Nail sensing the arrival of the Ginyu Force.
 Having sensed the ki of both Krillin and Gohan, Vegeta is surprised that they are not coming after his Dragon Balls. He decides to fly after them and take their Dragon Ball, bringing one of his with him in case Bulma finds his location with the Dragon Radar. Krillin and Gohan finally have Guru's house in their sights, but sense Vegeta coming after them. Krillin decides to stall Vegeta and buy some time while Gohan goes on ahead. Vegeta soon arrives and demands the Dragon Ball, but Krillin pretends not to know what he is talking about. However, Vegeta senses the Namekians at Guru's house and guesses that the Dragon Ball is there. Krillin denies it, but Vegeta flies by him towards the house.
 Meanwhile, Guru has sensed Gohan's great hidden power, and realizes that he is not human. Gohan begs him to hurry. Vegeta arrives, but Nail refuses to allow him to enter. Gohan's power is successfully unlocked, and the resulting change in ki is so great that Vegeta believes Goku is inside. He is stunned when Gohan emerges from the house. Guru tells Dende to warn everyone that a large power is coming to Namek. Dende does so, and everyone soon senses a huge ki. Vegeta determines that there are really five kis, which means that the Ginyu Force has almost arrived.
 Vegeta demands the Dragon Ball, saying that he will leave them all in peace if they give it to him. He states his desire to make himself immortal to combat the Ginyu Force. Krillin wants to make Gohan immortal instead, but Vegeta does not think that he has the necessary battle experience to defeat them. Nail informs the group that the Namekian Dragon Balls actually grant three wishes, rather than just one as on Earth. Knowing this, Krillin agrees to take Vegeta to the last Dragon Ball, and they, along with Gohan, fly off. Guru tells Nail to help them out, and that he will live a bit longer. In space, the space pods of the Ginyu Force have almost reached the planet.
"
The Ginyu Force,272 (DBZ 78),"The cover shows the Ginyu Force's Attack Balls landing on Namek. This cover art is also featured in Daizenshuu 1.
 The Ginyu Force's first appearance The chapter begins with Frieza excitedly awaiting the Ginyu Force's imminent arrival. In a race against time, Vegeta, Krillin, and Gohan fly back to the chasm where Bulma is waiting, take the Dragon Ball there, and fly off. Bulma is confused as to why Kuririn and Gohan are now working with Vegeta.
 At Frieza's Spaceship, the Ginyu Force finally land and present themselves to Freeza with a set of absurd poses. Freeza is visibly discomfited by this display, but decides to quickly get down to business. He orders the Ginyu Force to get the Dragon Ball and capture Vegeta alive, while killing the others. Captain Ginyu tells Frieza that their scouters have already found Vegeta, and Jeice gives Frieza a box of new scouters that he had requested. With their orders set, the Ginyu Force fly off to pursue Vegeta, who immediately notes their speed.
 In space, Goku is awakened by the onboard computer, which announces that twenty minutes remain until arrival on Namek. He gets dressed, and mentally prepares himself for the upcoming battle. He does not feel afraid at all, much to his own confusion. Meanwhile, Vegeta, Gohan, and Kuririn almost make it back to the rest of the Dragon Balls in time, but the Ginyu Force arrives a split second before them, much to their dismay.
"
Five Deadly Fighters,273 (DBZ 79),"The cover of this chapter shows all members of the Ginyu Force standing behind each other and ordered by height, from the shortest to the tallest.
 Having arrived at the location of the five Dragon Balls a split second before Vegeta, Krillin, and Gohan, the Ginyu Force appear to be in control. Captain Ginyu notes that the five balls there plus the two Vegeta and Krillin are carrying makes all seven. Vegeta vows not to hand his ball over, while Kuririn senses the group's power levels. He notices that Ginyu is by far the strongest, while Guldo is much weaker than the rest.
 Krillin and Gohan power up After Ginyu confirms to Vegeta that the scouters cannot track Dragon Balls, Vegeta hurls his away, only for the speedy Burter to quickly grab it in midair and return. Ginyu claims that Burter is the ""fastest in the universe."" Desperate, Vegeta tells Kuririn to destroy his Dragon Ball, but when he brings his hand down to strike it, the ball disappears. The group notices that Guldo has the ball, and Vegeta says that he had heard rumors that Guldo can stop time. Ginyu tells the rest of the Force to take out Vegeta, Kuririn, and Gohan while he brings the Dragon Balls to Frieza. The four remaining Ginyus play a game of rock-paper-scissor to determine who fights who, and Recoome wins, getting Vegeta. Guldo ends up getting Gohan and Kuririn.
 Vegeta asks Kuririn and Gohan if Goku is really on Namek, noting that he could be helpful. Kuririn informs him that Goku is on his way and should arrive soon. Recoome tells Guldo to fight first. Gohan and Kuririn power up, drastically raising their Power Levels, to the visible surprise of Jeice, Recoome, and Burter. They fly into the air and each fire a Ki Blast at Guldo.
"
